start	end	text
4.309	5.951	弟兄姊妹平安，我們一起來思想。
5.951	9.334	耶利敏書第五章二十節到最後。
9.334	18.843	當傳揚在雅各加,報告在猶大,說,愚昧無知的百姓啊,你們有眼不看,有耳不聽。
18.843	29.816	現在,當聽這話, 我們真的不要把眼睛捂起來,把耳朵也遮起來,不聽不看上帝對我們的光照與提醒。
29.816	36.178	當我們不看不聽,有一天上帝就用更大的聲音來對我們說話。
36.178	42.381	那時候我們就在上帝的管教裡面會非常非常的辛苦。
42.381	45.562	22節耶和華說,你們怎麼不懼怕我呢?
46.937	53.522	我以永遠的定律,用沙為海的界線,水不得越過。
53.522	57.506	因此,你們在我面前還不暫靜嗎?
57.506	65.132	波浪雖然翻騰,卻不能逾越,雖然噴洪,卻不能過去。
65.132	72.638	但這百姓,有悖逆、忤逆的心,他們盼我而去。
72.638	87.129	心內也不說,我們應當敬畏耶和華我們的神, 祂暗時賜予,就是秋與春雨,又為我們定收割的結令,永存不廢。
87.129	95.214	你們的罪孽使這些事轉離你們,你們的罪惡使你們不能得福。
95.214	96.835	這邊在說什麼呢?
96.835	101.318	就是你們為什麼不害怕我呢?
101.318	106.742	你們為什麼三番兩次真的是踩我的紅線呢?
108.200	110.081	你們太過分了。
110.081	112.081	超越了我的界線。
112.081	117.843	你們沒有去思想那個海浪在怎麼樣的狂妄、翻騰。
117.843	124.305	他就是無法也沒有能力越過我所定的界線。
124.305	151.030	你們也沒有從我所賜福給你們的結令以及按時降下這個秋雨春雨的這種的規律裡面去明白 萬事萬物都在我所定的規律跟旨意裡面行事而你們卻不守我的規律而且你們還越獻你們認為難道我真的都不會審判你們嗎?
151.030	186.110	二十五節說你們的罪孽使得上帝原本是透過祂的這個規律要來祝福你們的現在反倒都成為要來攻擊你們的 二十六節因為在我民中有惡人他們埋伏窺探好像捕鳥的人他們設立圈套陷害人籠內怎麼樣滿了雀鳥 他們的房中也照樣充滿詭詐,所以他們得成為大,而且富足。
186.110	197.514	為什麼人會一直不敬畏神,而且一直踩上帝的紅線,一直越線,惹神的憤怒卻不會害怕呢?
197.514	205.616	因為他們食髓之味,他們作惡,他們每次作惡都覺得他們有很大的收穫。
205.616	212.819	因此呢,如同二十七節所說的, 所以他們得成為大,而且富足。
212.819	218.161	二十八節,他們肥胖光潤,作惡過甚。
218.161	225.824	不為人申冤,就是不為孤兒申冤,不使他亨通,也不為窮人便屈。
225.824	232.867	他們自己作惡,陷害別人之外,還欺壓這些弱勢的人,毫無憐憫。
234.087	240.150	二十九節,耶和華說,我豈不因這些事討罪呢?
240.150	243.031	豈不報復這樣的國民呢?
243.031	252.115	國中有可驚駭、可憎惡的事,就是先知說假預言,祭司借他們把持權柄。
252.115	255.176	我的百姓也喜愛這些事。
255.176	257.577	到了結局,你們怎麼樣行呢?
258.558	271.350	這邊告訴我們說,神設立了一些先知、領袖、祭司,要他們做榜樣,並且帶領百姓來遵行主的道路。
271.350	278.957	但這些人只顧自己的這些利益,並且不惜欺壓弱勢的百姓。
279.718	294.084	以至於呢﹐久而久之﹐上下交鄉賊﹐這些有權柄的﹐例如說先知﹐就是說假預言﹐來混口飯吃﹐來得找他個人的利益。
294.084	306.649	祭司﹐把持著﹐幫助百姓獻祭的這樣的一個特權﹐作威作福﹐而君王﹐更是帶領百姓﹐直接離開上帝。
306.649	321.528	因此呢﹐上下交鄉賊﹐ 耶華問他們一件事情,難道你們從來沒有想過,你們一直這樣下去,我會任憑你們這樣一直下去嗎?
321.528	327.757	難道你們都沒有想過,你們一直這樣子做,你們的結局會是如何嗎?
328.490	336.653	難道你們真的認為,可以一直越過我的界限,我不會對你們施行審判嗎?
336.653	341.975	很可惜的,猶大的百姓就是認為,神不會施行審判。
341.975	344.216	因此,他們大禍就要臨頭了。
344.216	346.997	我們一起來禱告。
346.997	368.806	神啊,讓我們真實的敬畏祢,知道祢是聖潔公義的神, 主啊,當我們常常軟弱犯罪,卻好像耶和華也沒有對我做什麼樣公義的管教或審判的時候,主我們作惡的心就變得膽大妄為。
368.806	379.989	親愛的主,求祢把祢的手放在我的生命裡面,帶領我,不走偏差的路,帶領我的心向祢是謙卑的。
381.152	388.358	當我做每一件事情的時候,我也要去思想,這樣做,它的結局會是如何?
388.358	394.904	主啊,祢是輕慢不得的,沒有人可以越過祢所畫的那條界線。
394.904	400.069	謝謝主,憐憫我們,幫助我們,奉主耶穌的名禱告。
400.069	400.949	阿們。
400.949	402.351	願神祝福大家,
