start	end	text
3.985	18.102	弟兄姊妹平安，我們一起來思想以西結書第十四章的一到十一節在上一章十三章裡面我們分析了為什麼在那個時候有這麼多的假先知大行其道呢?
18.102	29.412	因為在亂世當中人心不安找不到盼望 因此就很希望聽到的消息都是好的消息。
29.412	33.213	因此假先知就有利可圖。
33.213	38.536	有市場可以來大型迷惑人的詭計。
38.536	41.677	那我們也交代了他的歷史的背景。
41.677	48.480	特別是在以西劫他們被辱之後的第四年的時候。
48.480	53.042	那時候在中東地區有一場外交上的陰謀。
53.797	101.775	他們想要連結起來反抗巴比倫人的統治因為在幾個月前巴比倫內部曾經發生過一次不成功的政變因此這些中東的國家都認為有機會可以扳倒巴比倫 所以在那時候在我們透過耶利米書27章28章就可以知道立刻就有假先知叫做哈拿尼亞就寫了一封信送到被擄到巴比倫的同胞當中說放心上帝告訴我兩年之內你們就可以通通平安的回到耶路撒冷了兩年之後這個時間到了 假先知哈拿尼亞的預言完全沒有實現。
101.775	103.456	兩年後是什麼時候?
103.456	112.621	就是以西結書第八章一直到第十三章、十四章,都是在被辱之後的第六年。
112.621	116.723	就是假先知哈拿尼亞的信息沒有實現。
117.517	125.522	因此呢,當假先知的信息沒有實踐的時候,就開始也會有一些人,就會來找以西解了。
125.522	129.505	就想知道說,那到底神的心意是怎麼樣呢?
129.505	132.307	如果你是真先知,請你告訴我們。
132.307	138.371	我們就來看第十四章的第一節,神怎麼樣回應這些來求問神的人。
138.371	144.495	有幾個以色列長老到我這裡來,坐在我的面前。
144.495	162.871	這個場景很像第八章的時候, 耶和華的話就臨到我說,人子啊,這些人已經將他們的假神接到心裡,把陷於罪的絆腳石放在面前,我豈能絲毫被他們求問嗎?
162.871	190.056	上帝直接了當地回答說,你們這些長老啊,你們已經把假神請到你們心裡面了,你們心中根本沒有容得下我的地方了, 你們心中所崇拜的是假神,這些假神是使你們一直陷入罪惡當中的絆腳石,以至於與你們不斷在罪面前撲倒。
190.056	197.323	你們心中既然已經把假神接到心中了,還來求問我,你覺得我會回答你們嗎?
199.189	232.874	第四節所以你要告訴他們主耶和華如此說以色列家的人中凡將他的假神接到心裡把陷於罪的絆腳石放在面前又救了先知來的就是又來請教先知的我耶和華在他所求的事情上必按他眾多的假神回答他 也可以翻譯叫做必按祂拜許多假神的罪來報應祂。
232.874	235.617	神說你們要求問我是嗎?
235.617	241.822	那我就要先審判你們心中充滿了假神的這個罪。
241.822	247.327	你們要悔改我才願意告訴你們我的旨意是什麼。
247.327	257.531	第五節好在以色列家的心事上 桌住他們,因為他們都藉著假神與我生疏了。
257.531	260.234	哇,好悲哀的口氣。
260.234	263.838	神說他們其實早就跟我生疏了。
263.838	272.607	他們被擄到這裡,還不僅僅抓住我,反而與我生疏了,因為在他們跟我中間卡了誰?
273.575	275.397	卡著假神。
275.397	280.822	他們甚至把我趕出他們的心中,把假神引到他們的心中。
280.822	288.049	因此耶和華說,他要在以色列家的心事上面,捉住以色列家。
288.049	289.231	什麼意思呢?
289.231	297.679	因為以色列家,他們想要從假神那裡所得到的虛假平安,現在都落空了。
298.387	330.544	所以耶和華現在就要透過他們好像伺機敗露他們之前心中抓住假神希望能夠趕快回耶路撒冷結果假預言現在落空了他們才來求問耶和華因此耶和華說我就要把你之前與我疏遠心中緊抓住假神盼望兩年內可以回耶路撒冷這件事情我要抓住這件事情 我不放過你們這件事情。
330.544	333.026	因為你們在這件事情上得罪我。
333.026	335.847	你們在這件事情上大大的犯罪了。
335.847	339.429	因此我要抓住你們的這一件心事。
339.429	341.010	或是虧心事。
341.010	343.351	或是隱秘的事。
343.351	346.893	讓你們老老實實來面對我。
346.893	348.214	你們既然來求問我。
348.214	349.694	你們就要老老實實面對我。
349.694	354.137	所以我就要抓住你們這件得罪我的虧心事。
354.137	356.338	這件虧心的隱秘的事。
356.988	360.229	我要對付你們這件事情。
360.229	388.482	第六節所以你要告訴以色列家說主耶和華如此說回頭吧離開你們的偶像轉臉不要跟從你們一切可證的事神抓住我們的虧心事不是要羞辱我們 弟兄姊妹,很多時候我們有很多對不起神的事,對不起人的事,在我們裡面成為我們的心事。
388.482	393.605	我們很怕被神抓住這個虧心事,就不敢來面對神。
393.605	401.028	弟兄姊妹,神抓住你我的虧心事,不是要滅亡我們,是要救我們。
401.028	404.670	救我們不要繼續活在那件事情裡面。
405.469	412.013	而真實的回轉歸向祂,就能夠離開罪惡,這樣神才能夠救我們。
412.013	433.027	第七節,因為以色列家的人或在以色列中寄居的外人,凡與我隔絕,而將他的假神接到心裡,把陷於罪的絆腳石放在面前,又救了先知,又來找先知,要為自己的事求問我的。
433.027	447.998	我耶和華必親自回答他, 我必向那人辯臉,使他做了警戒、笑談令人驚駭,並且我要將他從我名中剪除,你們就知道我是耶和華。
447.998	456.204	這些心中仍然有假神又來求問我的人,我要向你們辯臉,我要向你們發怒。
