start	end	text
3.916	5.678	弟兄姊妹平安，我們一起來思想。
5.678	9.522	以西結書第47章1到12節。
9.522	18.491	第一節,他帶我回到殿門,見殿的門檻下有水,往東流出。
19.275	63.225	原來殿面朝東這時候這位天使在以西節來到聖殿的門口看見聖殿的門檻下面有水流出來往東流就是往正前方流因為聖殿它的正前方是東面這水從門檻下由殿的右邊在祭壇的南邊往下流 水從聖殿的門檻流出來之後,他需要轉彎,因為前面有祭壇,所以他就往右邊轉,右邊就是南邊,繼續往下來流。
63.225	75.931	然後呢,他帶我出北門,又領我從外邊轉到朝東的外門,就是外東門,看見水從外東門的右邊流出來。
75.931	90.114	我們透過這個圖片就可以更加明白, 因為以西捷他不能走這個東門,特別是這個外東門是永遠封閉,那是上帝走的門。
90.114	103.165	所以他就從內院趕快繞到外面去,繞到最外面去,到外東門的門口,看見那個水從外東門的右邊也整個流出來了。
103.985	145.439	他就是指這位天使﹐手拿著準繩﹐準繩就是要測量用的﹐往東出去的時候﹐就是往外東門的前方一直出去的時候﹐量了一千軸﹐一軸大概是0.5公尺﹐所以大概是500公尺﹐使我躺過水﹐這個時候呢﹐以西捷就經過這個有水的地方﹐ 這條河流這時候水深到淮子谷,接著又往前走了一千軸, 以西捷這個時候,這條河的水就已經到他的膝蓋了。
145.439	151.744	再往前走一千軸五百公尺的長度,這個水已經到腰了。
151.744	156.487	再往前一千軸,水已經變成一條河了。
156.487	161.010	以西捷沒有辦法再走過去了,因為水勢漲起來。
161.010	166.034	它變成可以可浮的水,就是稱為可以游泳的水。
166.852	171.054	而不是用走路可以躺過的河。
171.054	175.117	天使他對我說,人子啊,你看見了什麼?
175.117	176.117	看見了什麼呢?
176.117	176.778	下文會講。
176.778	180.980	天使他就帶我回到河的旁邊。
180.980	191.026	我回到河的旁邊的時候,看見在河的這邊跟河的那邊的岸上有極多的樹木。
191.026	199.024	因為這條河,這條生命河, 祂流過哪裡，哪邊就帶來生命。
199.024	269.083	有關這個生命和這個在啟示錄裡面也有提到在啟示錄的22章裡面其實我們如果以後一起來思想啟示錄的時候我們會發現啟示錄裡面很多都跟以西節的意象有關16章20章那邊跟這個哥格馬各幕後戰爭的這個預言有關 二十一章二十二章跟這個生命河跟新的耶路撒冷城還有這個這個城的東南西北有十二個城門這些都跟以西結書裡面的預言非常有關係那我們繼續往下看那第八節這位天使他對我說這個水要往東方流去必下到亞拉巴 雅拉巴指的是約旦河河谷,特別是在約旦河河谷西岸那邊的曠野地,所以會往東邊流過去,然後直到海,就是指的是死海。
269.083	279.285	所發出來的水必流入沿海,沿海就是死海,使水變為田,原文叫做使水得一致。
280.230	344.734	死海因為它鹽分太高所以裡面沒有生物但是這一條從聖殿流出來的生命河 也就是說, 當上帝祂的榮耀重新回到耶路撒冷,百姓願意重新來順服神,過一個討神喜悅的聖節的生活,敬拜的生活,彼此相愛的生活的時候,上帝祂的榮耀就願意回到他們當中,並且有這個一致的生命河的水,會流向萬物。
345.572	353.278	使萬物都被醫治,從苦的變成甜,從死的變成活的。
353.278	356.940	因此這是一個講到幕後的日子。
356.940	365.647	耶穌基督再來之後,這個新天新地所要帶來了一個全新的上帝榮耀同在的景象。
365.647	369.209	因此在啟示路那邊就更進一步的發揮。
370.503	375.007	第十節,必有漁夫站在河邊。
375.007	381.573	死海旁邊原本不可能有漁夫的,因為死海沒有魚可以生存。
381.573	390.400	那在這個死海的旁邊,從隱基底直到隱已隔連,都做曬網之處。
391.715	397.177	尹基底在今天死海的西岸。
397.177	402.520	在死海的西岸的中部的地方。
402.520	405.921	尹與格連的地點沒辦法很確定。
405.921	411.384	但是尹基底他的意思是小山羊的水泉。
411.384	415.966	而尹與格連他是小牛。
415.966	420.268	小牛是富庶,小牛賭的水泉。
420.268	426.885	也就是說 從前在死海旁邊都是寸草不生的礦野。
426.885	434.488	所以引基底、引以格連這邊好不容易有湧泉湧出來。
434.488	438.750	以至於小羊、小牛都會到那邊去喝水。
438.750	447.733	因此在死海旁邊,原本的這些很稀罕有的小水泉是很特別的。
448.166	459.511	但等到那個從聖殿有生命河流出來,一字遍地的時候,這兩個水泉就沒有什麼稀奇了,因為到處都是活水。
459.511	464.913	所以這邊反而變成是漁夫在那邊曬網的地方。
464.913	475.172	然後我們看見漁夫在那邊網漁,在那邊曬魚, 那於各重其類,好像大海的魚甚多。
475.172	487.935	一副非常欣欣向榮,生命滋長的樣子,彷彿回到《創世紀》第一章,於各重其類都得著的生命的一致。
487.935	493.277	十一節只是泥濘之地和蛙石之地,不得治好,必為炎地。
493.677	528.839	為什麼上帝﹐會留下一些沼澤地﹐還有泥濘之地﹐讓他們沒有被火水﹐來醫治﹐也有不同的猜測﹐我想就是說﹐對於一些不願意接受﹐上帝生命滋潤的這一些死亡﹐的泥濘之地﹐神就任憑他們﹐繼續荒涼﹐甚至是沒有生命在其中﹐這也代表什麼﹐ 上帝祂願意用祂的活水、江河、祂的生命河來改變每一個願意的人的生命。
528.839	539.661	但是呢,如果我們硬心到底,不願意接受,那我們的生命就成為泥濘跟低窪沼澤之地,沒有任何生命的氣息。
539.661	544.882	十二節在河的這邊與河的那邊的岸上必生長各類的樹木。
546.084	551.265	他們的果子可做食物﹐葉子不枯幹﹐果子不斷絕。
551.265	558.106	這邊讓我們想到《啟示錄》那邊22章講到生命核所描述的也是這樣的光景。
558.106	564.207	每個月必結新的果子﹐因為這個水是從聖所流出來的。
564.207	569.088	樹上的果子必做食物﹐葉子為治病。
569.088	570.948	我們一起低頭來禱告。
570.948	575.409	主我們感謝祢﹐因為有生命核的水從祢那邊流出來。
576.118	577.478	要醫治遍地。
577.478	583.980	主啊,凡被這生命河流的水所醫治的,都要活過來了。
583.980	588.401	死亡要變成復活,枯乾要變成豐盛。
588.401	596.084	但是主若我們一心抵擋祢的救恩,主啊,那仍然要落在死亡的沼澤之地。
596.084	600.225	親愛的主,恩待我們,讓我們生命向祢是敞開的。
600.225	604.186	因為祢不願意一人沉淪,祢乃願萬人都得救。
604.906	633.164	主今天的經文也告訴我們那聖殿所流出來的水是越流越豐盛從一開始直到懷子谷後來真的是連需要靠游泳才能夠在裡面與生命河的水流共同前進主讓我們思想到我們在整個聖靈的充滿裡面在整個聖靈的工作裡面 我們要享受在其中。
633.164	634.106	謝謝主。
634.106	635.489	聽我們的禱告。
635.489	637.293	奉主耶穌基督的名。
637.293	638.115	阿們。
638.115	639.417	願神賜福大家。
