start	end	text
19.804	23.545	弟兄姊妹平安，我們按照《梅日言經》事業的進度,一起來思想。
23.545	28.067	馬太福音24章27節到35節。
28.067	35.930	之前耶穌說,在很混亂的時刻,很多人會假冒祂就是基督,你們都不要相信。
35.930	36.791	為什麼?
36.791	42.073	因為我來的時候,全世界都會看見,而且同時都會知道我來了。
42.773	48.618	27節,閃電從東邊發出直照到西邊。
48.618	56.465	就是說閃電在天空照亮的時候,從東到西都看得到閃電。
56.465	59.488	所以人子降臨也要這樣。
59.488	64.032	所以人子降臨的時候,全世界的人都同時會看見。
64.032	70.933	28節, 施守在哪裡,因也必聚在那裡。
70.933	73.054	這是一個諺語。
73.054	90.401	它的意思就是說,當有這個動物倒閉,死在這個曠野或是路邊,那這個因呢,就會在空中盤旋,然後也會在這個地上聚集,然後來吃這個死掉的屍體。
90.401	106.030	所以代表就是說, 我再來的時候,大家都看得見,如同看得到那個老鷹在天上盤旋,可以看到那個秃鷹在地上聚集一樣。
106.030	115.177	屍首這邊被鳥啃食,舊月常提到,就是惡人被審判,以至於他的 肉被鳥所吃。
115.177	204.858	所以這邊也告訴我們一件事情就是說當一切的環境一切的條件都達到了頂點的時候就是耶穌基督第二次再來的時候那我們之前也談過就是當這個世界的敗壞跟罪惡它惡貫滿盈的時候同時上帝的聖名 神的選民他們雖然經歷環境的惡劣以及仇敵的逼迫但他們仍然忍耐忠心到底繼續的在各地直到地極傳揚天國的福音所以當這個最壞的狀況到頂點以及聖徒忍耐積極傳福音到頂點的時候那時候時機成熟了主耶穌就第二次再來 二九節那些日子的災難已過去就是我們在之前有提到在末日之前會先有一些天災人禍的現象但那些都是前面的一開始而已真正的末日還沒有到就是主耶穌還沒有來 所以二十九節說之前所提的那些日子的災難一過去會有一件一些大的重要的現象會出現就是日頭就變黑了月亮也不放光眾星要從天上墜落 然後天勢都要震動。
204.858	234.366	在舊約的以色列書13章跟34章也都有談到這一種耶華要來的時候大而可畏的日子天上的日月星辰他都會產生非常奇怪甚至是令人害怕的一些可怕的變化日月無光天地昏暗 那就在這個時候,人子在榮光當中,也要顯現降臨。
234.366	237.027	好,我們就繼續往下看三十節。
237.027	250.971	當這些天上的這些日月星辰,產生這種劇烈的變化的時候,那時,人子的罩頭,就是人子的浴罩,要顯在天上。
250.971	253.052	這是什麼意思呢?
253.052	287.213	人子的罩頭, 我們從上下文來看以及當時代人他們習慣的用法指的這個兆頭就是所謂的羅馬背景來講就是軍隊的那個旗幟或是那個軍隊的那個徽章徽號打仗時候都有那個旗幟嘛徽章在羅馬背景的話兆頭這個字指的是這個那如果在猶太人的就業背景裡面這個兆頭 比較讓我們可以想像到的是號角的角聲。
287.213	295.356	或是西音樂講的那個號筒吹響的時候的那個角聲、號聲。
295.356	299.958	所以那時人子的罩頭要顯在天上。
299.958	322.961	也就是說整個日月星辰的天象的變化以及在天上也會發生一些 讓人家知道不可思議的異常的一些記號彰顯的時候 就是人子要來了,然後地上的萬族都會看見,他們就要哀哭。
322.961	333.030	哀哭不是為了悔改,而是哀哭已經來不及悔改了,因為人子已經第二次在來了,要來審判這個世界。
333.030	339.956	那地上的萬族萬民,他們要看見人子有能力,而且是大有榮耀。
341.118	344.640	架著天上的雲降臨。
344.640	357.707	一開始是降臨在半空中,然後所有的聖徒會從死裡復活,然後地上還活著的聖徒也會被提到半空中。
358.387	365.211	一起與耶穌基督在空中相遇,然後再一起降臨在這個地上。
365.211	379.198	這個以後我們在談到啟示錄的時候會講到更多,其實今天經文很多細節,不容易解釋,有各種眾說紛紜的說法,我只是提出我覺得比較簡單的一些說法,讓大家先來思考。
380.179	439.618	有關於人子架著天上的雲降臨,在舊約很有名,就讓我們想到,但耶理書的7章13節到14節,其實在馬太福音16章27節,耶穌也曾經預告過,將來祂再來的時候,就是要乘著天上的雲降臨,而且祂要差遣使者,就是天使天君也會跟祂一起來,祂要差遣使者, 用號筒的大響聲吹號筒將祂的選民從四方就是包含從天的這邊到天的那邊都召聚來這是我剛剛所講的就是主耶穌基督第二次再來的時候祂在空中的時候已死的聖徒會復活地上還活著的聖徒也會被提到半空中而且呢 他們都會得著主所賞賜給他們新的身體。
439.618	441.079	然後與主會合。
441.079	445.120	然後再一起降臨在這個世界上。
445.120	447.721	我們繼續往下看。
447.721	450.142	那三十二節。
450.142	454.044	你們可以從無花果樹學個比方。
454.044	458.045	當樹枝發嫩長葉的時候。
458.045	460.586	你們就會知道夏天近了。
460.586	462.107	同樣的三十三節。
462.107	462.367	這樣。
462.927	471.292	你們看見了這一切的事,也該知道人子近了,而且是非常靠近了,正在門口。
471.292	484.540	所以不要去道聽途說,特別在局勢混亂、逼迫嚴重的時候,或是經濟崩潰、政治崩潰的時候,不要去親信某一些人,把他當作是神派來的代理人。
485.060	489.406	不論是政治方面、經濟方面、健康方面。
489.406	495.273	還有這些各種的假基督、假先知。
495.273	496.935	我們不要去拜偶像。
496.935	501.461	因為耶穌基督在來的時候,全世界都會同時看見。
502.142	504.885	好,我們繼續往下看。
504.885	515.434	34節,我實在告訴你們,這世代還沒有過去,這些事都要成就,天地要廢去,我的話卻不能廢去。
515.434	524.120	首先在你們這個世代還沒有完全過去,就是你們當中有些人還沒有死之前, 這些事都要成就。
524.120	529.984	指的就是,剛剛耶穌所講的相關的一些災難。
529.984	536.308	也當我們之前也提過,包含聖殿被毀,在主後七十年的時候,聖殿被毀。
536.308	543.413	那耶路撒冷就死了這個一百萬的人,根據這個歷史學家約瑟夫的記載。
543.413	548.717	也包含這些相關的這些一些末日的預兆,陸陸續續也會出現。
549.377	568.999	那耶穌說天地有一天都會廢去但是我所說的這些關於這些末日的預兆還有這些大災難以及我真的會第二次再來而且這個已死的聖徒會復活沒有死的聖徒會被提到半空中與我相遇 這些都是真的。
568.999	578.863	然後當耶穌帶著所有的聖徒降臨在地上的時候,這個就代表神的國在地上建立。
578.863	581.224	這一切都會實踐。
581.224	582.005	我們一起來禱告。
582.705	587.288	主啊,讓我們知道祢是歷史的主宰,祢也是救恩的主宰。
587.288	592.351	主啊,真的是我們要有一個敬畏祢的心,知道祢會第二次再來。
592.351	594.352	而在那個時候,主我們要向祢交賬。
594.352	603.117	在那個時候,主啊,在今生今世,專心依靠祢,傳揚祢的福音,並且過一個容神一人生命的人。
603.117	605.779	在那時候,要與祢在空中相遇。
605.779	608.541	主啊,要與祢一起得國降臨。
608.541	611.022	主啊,在地上治理祢的國度。
611.022	612.163	主啊,改變這個世界。
612.654	615.218	主啊,讓我們不要做一個糊裡糊塗的基督徒。
615.218	620.367	主,讓我們一生專心跟隨祢,直到見主面。
620.367	621.970	奉主耶穌的名祷告。
621.970	622.631	阿們。
622.631	623.753	願神賜福大家。
