start	end	text
0.247	2.289	哈囉,大家好。
2.289	3.711	我叫Annie。
3.711	7.174	歡迎大家來收看《安妮視角的聖經世界》。
17.432	39.606	這個系列會想要跟大家分享一些聖經的故事和我們現在社會中會有一些什麼樣的連結同時也會用英文跟大家一起閱讀一些聖經經文今天想要跟大家分享的主題叫做我的名字每個人的名字都對每個人有特殊的意義 大部分的人應該都是有中文名字和英文名字。
39.606	41.848	不知道你的英文名字是誰取的。
41.848	45.291	有一些人可能是英文老師,或者是爸媽媽。
45.291	48.533	那我們今天想要聊一下英文名字的來源。
48.533	53.717	其實很多人不知道英文名字,很多很多都是來自於聖經。
53.717	68.468	聖經故事裡面有非常多的人名,包括John,Jonathan,Joshua,David,Daniel,Even Michael is from Bible. 但是現代人很多人取名字,會變得越來越不太那麼傳統。
68.468	74.014	可能會想說,哦,像那個Kim Kardashian,就叫自己的名字東南西北的北啦,North。
74.014	79.940	或者是一些,啊,COVID-19結束了,OK,這個baby叫做Quarantina Mccovid。
79.940	82.643	我從小就很喜歡幻想一些有什麼好聽的名字。
83.063	88.567	因為我的名字呢,一個意義太深,一個呢,有一點點太普遍。
88.567	90.489	我的英文名字叫做Annie。
90.489	95.132	那麼我這一生認識的Annie呢,大概十根手指頭數不清吧。
95.132	99.015	而我的中文名字呢,叫做劉竹妍。
99.015	102.017	妍,是女字旁的妍,但竹是主要的竹。
102.017	109.543	因為我從小呢,就是在教會長大,爸媽媽希望我跟我的哥哥,一個叫竹光,一個叫竹妍,都會竹做光做妍。
109.543	112.145	這是一個非常Christian的名字。
112.705	140.684	那小的時候有些時候在小學啊就會被人取一些綽號啊叫做煮鹽留煮鹹或者是留煮蛋留煮飯各種各式各樣的名字但是其實我慢慢長大之後發現名字對我來說是一個很大的意義的因為為主做鹽後面其實有很美的含義名字跟我們對自己的身份有很大的關聯 那我們同樣可以問自己我們是以什麼來定義自己的呢?
140.684	164.977	當時神創造第一位人亞當的時候祂就為他取了這個名字祂不是任何人而是叫他亞當而亞當他第一個工作就是在伊甸園幫這些動物命名所以名字其實是一個很有意義的事情這是我們身分中很大的一個部分 也許有一些人會想說,哦,名字好像就是帶給這個人,人生運氣的一個點。
164.977	167.679	然後呢,好像改名字就可以改一個命運。
167.679	170.422	可能很多人名字甚至是算命來的。
170.422	176.969	在聖經裡面,有哪一些人物他們的生命是被這些名字所賦予很大的力量和祝福的?
177.329	179.931	其中一個人就是雅各 。
179.931	191.180	這個名字他的意思其實是抓,因為呢他跟他的雙胞胎哥哥當時在出生的時候,他的哥哥搶先離不而他是抓著他哥哥的腳被伸出來的。
191.180	195.703	而他從小就跟著他的哥哥在那裡競爭去搶恩典和祝福。
195.703	200.507	就使用了一個說謊的方式去蒙騙他已經眼瞎的爸爸以薩。
200.947	209.155	當他的爸爸要去祝福他的長子以扫的時候,雅各就充當他的哥哥,去得到了長子的這個祝福。
209.155	215.982	但其實從心裡面去看,他是沒有辦法去接受或認同他自己作為老二的一個身份。
216.442	220.827	其實上帝想對他說的是,即使你是老二,我一樣很愛你。
220.827	224.591	即使你是抓著前面的腳出來的,我還是一樣很愛你。
224.591	235.102	所以上帝後來就用改名的方式去祝福他,告訴他說,你不再是那個需要抓著別人的後腳去爭取來被愛的那一位,而是我現在來祝福你。
235.623	237.643	你要成為以色列。
237.643	240.564	我們大家都知道以色列現在是國家。
240.564	245.365	竟然是從一個人的名字,發展到成為現在一個國家。
245.365	250.266	而且之後在聖經裡面,十二支派全部都出自於雅各。
250.266	255.267	上帝的祝福用這個以色列的名字,大大的轉變了他的生命。
255.267	257.427	我們一起來讀一段英文的經文。
257.427	293.176	創世紀35章 Genesis 35 verse 9 After Jacob returned from Paddan Aram,God appeared to him again and blessed him.God said to him,Your name is Jacob,but you will no longer be called Jacob.Your name will be Israel.So he named him Israel.And God said to him,I am God Almighty.Be fruitful and increase in number.A nation and a community of nations will come from you,and kings will come from your body. 不知道你對你的名字有什麼樣的感受?
293.176	298.377	可能跟你重名的人或許存在或許有蠻多,像我有很多個Annie。
298.377	302.538	我們是否有沒有用上帝看我們的眼光看自己?
302.538	309.920	很多時候我們可能會感覺在世界上自己微不足道,會用社會的鏡子在論斷自己。
309.920	314.602	比如說滑手機的時候沉浸在別人的story裡面,會看不到自己是誰。
315.282	324.768	但是呢,當祢在創造我們的時候,我們每一根頭髮都細數過,而且我們手上的指紋從來沒有任何一個人是一模一樣的。
324.768	327.629	祂看見我們,祂創造我們是獨一無二的。
327.629	340.077	And you are special, you are loved, and you are important, because you are you.我們一起來讀最後一段經文,路加福音12章,Luke 12, verse 6What is the price of five sparrows, two copper coins?
342.278	362.751	其實有一位很愛我們的上帝,就像他是這樣的去賦予雅各意義,去愛雅各,他也非常的愛我們每個人。
362.751	371.077	當我們去用神的眼光看自己,我們會重新認識我們的身份,重新看待我們的名字,我們的人生也會有很大的轉變。
371.357	373.525	很開心這次可以跟你分享。
373.525	375.472	很期待我們後期再見。
375.472	375.673	掰掰。
