start	end	text
0.009	31.851	第十二節到第十六節十二節這邊說這不是說我們一起來讀我已經得著了已經完全了我乃是竭力追求或者可以得著基督耶穌所以得著我的弟兄們我不是以為自己已經得著了我只有一件事就是忘記背後努力面前的向著標竿直跑要得神在基督耶穌裡從上面招我來得的獎賞 繁體中文，臺灣國語。
47.671	54.296	祢的殿裏,主,我們在勁爆之中,我們看到,主,祢在我們當中,主,祢真的是與我們同在。
54.296	67.765	主,讓我們用祢的話語,當我們思考祢話語的時候,願主祢自己來跟我們說話,願聖靈運行,讓我們每一個人,我們在這邊,無論是說的,無論是聽的,主,我們同得造就。
67.765	72.749	讓祢的話語,主,讓我們能夠生根,讓祢的話語成為我們生命中的一部分。
73.029	78.713	讓我們真實學習在我們生命當中如何服事,乃是合你心意的。
78.713	82.196	謝謝主,禱告奉耶穌基督的名。
82.196	124.264	在《創世紀》第一章二十六節到二十八節這邊,我們講到的就是,我們教會一直十一年來,我們一直說,生養眾多,遍滿地面,謝謝,治理這地, 繁體中文， 我就想要用聖經上的﹐以及我最近﹐特別這次異象之旅﹐我看到的一些﹐以及我們教會所做的一些事情﹐所思考的一些事情﹐跟弟兄姊妹能夠來分享。
124.264	132.253	剛才讀到的《創世紀》第一章裡頭﹐我們很清楚看到在樂園裡頭的時候﹐亞當、夏娃﹐上帝造了他們以後﹐ 帶下這樣的祝福。
132.253	144.478	所以我們應該可以很安全的、很保險的說,我想強調的第一點就是說,治理這地,治理這地,乃是上帝天經地義的祝福。
144.478	145.759	因為聖經上是這樣講的。
145.759	149.600	而且上帝的話呢,祂一直這個心意沒有改變的。
149.600	154.543	我們知道在上世紀第三章的時候,人就墮落了。
154.543	157.464	人墮落以後,人墮落以後問題就出來了。
157.464	171.129	因為在這裡講到說, 祝福我們生養眾多,遍滿地面,治理這地的時候,那個時候給我們的是一個天國公民的公民權。
171.129	188.895	所以當我們人犯罪,我們被趕出樂園,當我們人犯罪,我們不再跟神直接連結,當我們被趕出樂園,不再是屬於天國公民的時候,這個權利,我們已經被赤奪公權了。
189.889	192.673	我們被判死刑了。
192.673	196.318	死刑通常是不是跟赤德公權,那是念赤對不對?
196.318	197.159	謝謝你們。
197.159	200.584	赤德公權跟死刑都在一起的,對不對?
200.584	229.671	所以沒救了,因為已經要 馬上就要執行了對不對那可能因為姓馬的法務部長的話他就是不肯下令執行這個死刑的話呢有的人就被平反但是我們這裡的話不是平反的問題這裡是我們罪有應得本來 本來牧師就是該死的。
229.671	244.319	本來上帝給了我治理這地的天君地的祝福,我自己放棄了,因為我不要了,我太任意了,我沒有跟上帝的話,我這個權柄我已經放棄了。
244.319	250.601	但是上帝沒有放棄,如果我們讀聖經的話, 舊約到新約。
250.601	256.183	當然從新約,你說耶穌基督來了,拯救了我們,所以這個權柄奪回來,對的。
256.183	259.964	但在這個之前,你看很多很多聖經,上帝都沒有放棄。
259.964	265.627	詩篇115篇那邊講到,天是耶和華的天,地呢,祂給了世人的。
266.067	273.332	這個是耶穌還沒來,我們要知道的就是在上帝的眼裡頭的話,千年如一日,對不對?
273.332	281.818	那祂的計劃,請問在座的基督徒,你我的拯救是上帝什麼時候計劃的?
281.818	283.680	是創世以前,對不對?
283.680	295.975	所以我們如果有這樣子一個概念的時候,我們知道暫時的我們因為犯罪, 赤駝公權,這個祝福不在我們身上了。
295.975	303.794	但是我們可以很清楚地看到, 實質價的恩典的時候,把這個救回來了。
303.794	307.276	哥羅西書第二章,我不來唸,但我把這個意思來解釋。
307.276	311.139	保羅講得很好,我很喜歡哥羅西書第二章保羅的一個講法。
311.139	312.180	他怎麼說呢?
312.180	330.395	他說當我們犯罪的時候,在天上這個天庭,有個法庭,我們民俗宗教有一些地方觀念是還蠻好玩的,其實是有一個法庭的話,撒旦這個很厲害的一個控告者, 他就控告我們,因此剛講到我們赤徒公權了,沒了。
330.395	341.975	但是當耶穌基督在十字架上, 祂的救恩成全以後,祂把我們從黑暗的詮釋裡頭,把我們救出來。
341.975	345.017	唯一的條件是我們相信耶穌基督是我們救主。
345.017	349.179	我們就進入愛子的國度裡頭,這是在哥利西蘇第一章裡面講的。
349.179	350.740	在第二章他怎麼講呢?
350.740	362.427	他就好像在法庭那邊的時候呢,在那邊本來我們的仇敵呢,有一個很清楚的一個字句控告我們的,而且這個是證據如山。
363.268	366.314	是辯駁不了的,我們該死的。
366.314	374.009	但是這個證據,因為十字架的恩典,保羅說,撤去了。
375.196	376.477	拿掉了。
376.477	382.382	保羅在《羅馬書》第八章講到類似的意思,就是說我們從此就不再定罪了。
382.382	405.782	換句話說,在這個法庭裡頭所定下來的已經定案了,而這個定案不是先前我們非死不可的,而是我們在十字架上N點的時候已經撤去了保羅講說有礙於我們的秩序,這個對我們 很不利的,我們是被告,但是這個已經撤掉了。
405.782	409.705	所以呢,我們可以清潔溜溜的來到上帝的面前。
409.705	422.994	因此當我們恢復這個身份的時候,當蘇建和案,我都不知道應該怎麼來評,但是不管怎麼樣,從法律程序上來講的話呢,是一個冤獄,對不對?
422.994	428.318	所以當他的冤獄被翻案的時候, 繁體中文，臺灣國語。
428.318	431.581	繁體中文，臺灣國語。
431.581	433.823	繁體中文，臺灣國語。
454.309	458.150	治理全地的這樣子的一個祝福,再臨到給我們。
458.150	467.892	換句話說,十字架所帶出來的恩典,不只是說我們從黑暗的國度裡頭被救出來進入愛子的國度,我們變成天國國民。
467.892	469.853	不是到此為止啊。
469.853	474.994	天國國民所享有的各樣的權利,跟著一起來的。
474.994	486.750	因此這裡講到治理這地的時候的話呢,我就很希望弟兄姊妹,我們一定要知道,我們不要停在說我的罪得赦, 我有永生的生命這點。
486.750	508.950	大家會注意到我們過去兩三年,可能三五年,甚至於可能這教會十一年來,我不知道,可能從黃牧師創教會開始,可能這個概念就是我們一直強調的,沒有錯,我們的罪得赦了,沒有錯,我們已經進入永生了,沒有錯,將來我們要進到天堂裡頭去了,但是不要停在那邊。
510.350	513.254	治理這地,生養眾多,遍滿地面。
513.254	517.200	後面有治理這地,把治理這地這樣子的一個責任交給我們。
517.200	524.430	所以這次我們,剛剛黃牧師講到,我們幾乎每一天牧者團隊的話,都找時間,我們有一些溝通。
525.794	532.541	以後如果你們要出去旅遊,如果是黃牧師帶隊的話,你們最好三思一下。
532.541	540.830	因為他是,你問黃偉南牧師就知道了,我們黃偉南牧師大概沒有一天是睡夠覺的,這個正確吧?
541.783	542.823	繁體中文，臺灣國語。
563.131	570.917	松牧師一跟,黃牧師是綠燈的時候,松牧師已經變成黃燈,羅牧師第三部車就變成紅燈了。
570.917	582.347	所以我們到各處去,那些教會的很多弟兄姊妹把他們的車借給我們,所以我們現在還不知道的一件事情,就是羅牧師開的那部車到底吃了多少的單子,我們還不曉得。
582.347	589.292	我們都跟他們各地教會打好招呼,如果有賬單來請告訴我們,我們一定要付這個錢,所以還不知道這個情形。
590.213	592.657	黃牧師安排得非常緊湊,真的。
