start	end	text
4.138	5.840	弟兄姊妹平安，我們一起來思想。
5.840	10.085	但以理書第二章第一節到第二十四節。
10.085	17.274	巴比倫王尼布賈尼撒在位第二年,他做了夢,心裡煩亂,不能睡覺。
18.046	27.695	王吩咐人將術士、用法術的、行邪術的和迦勒底人招來,要他們將王的夢告訴王。
27.695	36.284	他們就來站在王的面前,王對他們說,我做了一個夢,心裡煩亂,要知道這是什麼夢。
37.534	73.833	這邊告訴我們是尼布賈尼撒做王第二年但是巴比倫人算他們的王做王第幾年的算法跟猶太人算他們的王做王第幾年的算法不一樣巴比倫王做王的第一年不會叫第一年可能叫第零年而做滿了一年之後的第二年他們才叫做做王的第一年這很像我們到世界各地去發現我們搭乘那個電梯會不一樣 有些電梯呢,它地面層叫做一樓,再往上叫二樓。
73.833	83.338	但是有些國家它的電梯,地面層叫Ground,叫G,G樓,再往上才叫一樓。
83.338	85.499	所以會差,數字會差異。
85.499	92.283	這邊也是一樣,尼布賈尼撒在位的第二年,那照猶太人的算法是第三年。
93.217	205.907	第三年也就是但以理他們被俘虜到巴比倫的王宮中要學習三年學習畢業的時候了所以呢但以理就會參與到第二章這邊尼布賈尼撒王解夢的這一個行動不然他還沒有畢業他是沒有機會來參與的那 第四節加勒底人其實加勒底人指的不是所有的巴比倫的人民因為加勒底巴比倫是同義詞但在這邊講的加勒底人指的是那一些看這個星座看那個星象的這些占星的這些 占星師也就是我們在那個耶穌誕生的時候東方來的三個博士就是這種形象學家那因為巴比倫他們非常喜歡這些天文學啊星座學啊那透過這個來算命或是來分析這個國家的運勢 當然也有人提到由於這個以色列王國之後很多人被擄到巴比倫而巴比倫這邊又非常喜歡這些星象這些有的沒有的所以有人也認為說那三個東方的博士因為研究星象看到有一顆星然後就說這個是 猶太人的王要誕生了是聖經裡面所預言的那個猶太人的王要誕生了他們就過來要找這個這個王是誰其實就是耶穌那因此有人就推測那三個東方來的博士 很可能他們就是以前﹐被擄到巴比倫的﹐猶太人的後代。
205.907	211.950	因此他們非常﹐透過天文學﹐星象學﹐非常來關心聖經的預言。
211.950	216.952	特別是關心這個﹐弥赛亞來了沒。
216.952	219.633	第四節,迦勒底人用雅蘭的言語。
219.633	228.278	雅蘭的言語那時候﹐是這個整個﹐ 兩河流域的國際通用語言。
228.278	242.125	那我們要理解,因為在這個時候呢,這個王宮裡面,各種的人都被召過來了,世界各國的人都被召過來,要幫國王解夢。
242.125	285.063	所以呢,這個迦勒底人就用雅蘭的言語, 對王來說話當然也是希望說其他的不同民族人可以聽得懂雅蘭語言雅蘭語是那時候的國際通用語言願王萬歲請將那夢告訴僕人僕人就可以講解王回答迦勒底人說夢我已經忘了你們若不將夢和夢的講解告訴我就被凌遲處死你們的房屋必成為糞堆 你們若將夢和夢的講解告訴我,就必從我這裡得著贈品和賞賜,並大尊榮。
285.063	289.605	現在你們要將夢和夢的講解告訴我。
289.605	295.328	但是這些人聽到國王這樣講之後,他們覺得這個不知道該怎麼回答。
295.328	301.651	他們就第二次對王說,請王將你的夢告訴僕人,僕人就可以講解。
302.176	308.580	哎呀,王一聽,非常的憤怒,大發雷霆。
308.580	316.485	他說,我準知道你們是故意延遲不告訴我,因為你們知道那夢我已經忘了。
316.485	327.773	你們若不將夢告訴我,只有一個方法,待你們,因為你們預備了謊言亂語,要向我說,要等後時勢改變。
328.933	336.659	現在你們要將夢告訴我,因我知道你們能將夢的講解告訴我。
336.659	336.779	哇!
336.779	338.080	天啊!
338.080	343.023	這些迦勒底人,這些所謂的來被召聚人,真的是不知道該怎麼辦?
343.023	344.805	怎麼有這麼無理取那種事情?
344.805	346.546	你又不把你的夢是什麼告訴我們?
346.546	348.607	我們怎麼幫你解夢?
348.607	352.890	可是對尼布賈尼薩王來講,他的想法又是另外一種。
352.890	356.253	因為這個夢,對他來講影響太大。
357.005	360.106	可是他偏偏他的夢又忘記了。
