start	end	text
4.019	5.760	弟兄姊妹平安，我們一起來思想。
5.760	9.783	以西結書第二十二章十七節到最後。
9.783	15.527	繼續來看耶和華對耶路撒冷他們的罪的審判。
15.527	22.011	耶和華的話臨到我說,人子啊,以色列家在我看來,他們是渣仔。
22.011	30.697	他們都是爐裡面的銅、錫、鐵鉗,都是銀渣仔。
32.807	80.081	上帝希望以色列是純潔的他們裡面的質是高品質的銀子那這個匠人在提煉這個銀子的時候會用一種叫吹灰法的方式來煉出這個純度最高的銀子例如他們會加入這個錫然後呢 在這過程當中用吹灰法,把雜質分離出來,然後跟這個錫,這些其他東西結合在一起,那就把這個純淨的銀,單獨的提煉出來。
80.081	90.766	以色列好像是一個沒有用的礦,因此在那邊提煉了半天,都提煉不出什麼好的銀子來。
91.374	127.110	因此上帝說我看了他們都是銀渣仔提煉了半天都是一些沒有用的東西不是我要的純淨的銀子所以主耶和華如此說因你們都成為渣仔我必聚集你們在耶路撒冷中人怎樣將銀銅鐵鉛錫都聚集在爐中吹火融化 照樣我也要發怒氣和憤怒,將你們聚集,放在城中融化你們。
127.110	140.857	我必聚集你們,把我烈怒的火吹在你們身上,你們就在其中融化,因此怎樣融化在爐中,你們也必照樣融化在城中。
140.857	205.009	你們就知道我耶和華是將憤怒倒在你們身上, 這段經文一方面看見看見上帝對於以色列他們提煉了半天都提煉不出好銀子來對這個以色列人的憤怒跟失望因為他們心不純正充滿了雜質怎麼提煉都還是雜質所以呢上帝的憤怒要如同火來融這個爐讓裡面的 銀子還有其他的這些金屬全部混在一起去把它溶解那上帝就是像一個匠人一樣要這樣子要把整個耶路撒冷融化二十三節耶和華的話連到我說人子啊你要對這地說你是未得潔淨之地因為他們充滿了雜質在惱恨的日子 先知應該要教導上帝的心意。
205.009	209.270	帶領百姓來遵守神的話語。
