start	end	text
18.729	21.911	弟兄姊妹平安，我們按照《梅日蓮經》事業的進度一起來思想。
21.911	24.413	《啟示錄》第3章的14節到最後。
24.413	32.059	首先我們一起來讀第14節到第16節。
32.059	53.687	你要寫信給老底嘉教會的使者,那為阿們的,為誠信真實見證的,在神創造萬物之上為元首的,說, 我知道你的行為,你也不冷也不熱。
53.687	57.469	我巴不得你或冷或熱。
57.469	62.271	你既如溫水,也不冷也不熱。
62.271	65.033	所以我必從我口中把你吐出去。
67.159	70.642	十四節,你要寫信給老底家教會的使者。
70.642	75.246	我們已經來到啟示錄的這個七個教會的最後一個教會。
75.246	78.890	也來到我們啟示錄的嚴謹示意的第七集。
78.890	87.477	我要請大家多多的來分享我們的這個節目,給更多的弟兄姊妹,讓他們一起來跟上進度。
87.477	89.920	現在才第七集,都還來得及追。
89.920	93.143	所以請多分享我們的這個啟示錄的節目。
93.643	98.447	然後讓大家一起來跟,因為啟示錄真的非常非常的重要。
98.447	103.911	首先要認識老底嘉這個教會,要認識他的程式,我們先來看一下我們的地圖。
103.911	107.874	我們先來到最後一個程式的,我們還記得這個口訣嗎?
107.874	113.978	順時鐘從以佛所繞一圈,以是別,推撒非老。
113.978	119.642	這個口訣就是說,啟示錄的目的是用以, 以識別,識別什麼?
119.642	126.126	識別如何推開撒旦的工作,而非老死在地獄裡面。
126.126	130.068	所以以識別,推撒,非老。
130.068	133.570	那這七個教會呢,各自有他們的一些狀況。
133.570	138.393	我們也可以發現,耶穌真的是這個地上的君王。
138.393	144.557	祂不僅認識每一個人,也認識每一個教會,祂也認識每一個城市、民族跟國家。
145.196	169.582	耶穌祂善用這一個祂對每一個城市過去歷史的一些發展來提醒當地的這個教會要做一些樹林上的悔改跟這個信心上的兼顧好那這個老底家這個教會我們再看一次這個地圖 祂在兩條商道的這個教會點。
169.582	172.164	所以祂一定會非常有錢。
172.164	174.865	那這個是老底家教會的問題。
174.865	176.226	祂非常有錢。
176.226	178.908	但是祂是顧念地上的事。
178.908	180.869	天上的事祂沒有顧念。
180.869	182.891	這是耶穌要責備祂的。
182.891	186.513	七個教會裡面只有兩個教會沒有被耶穌責備。
186.513	189.255	一個是這個士敏拿教會。
189.255	191.677	一個是這個菲拉鐵妃教會。
191.677	193.438	他們沒有被耶穌責備。
193.438	195.019	那有幾個教會被耶穌罵得很慘。
195.179	198.024	老底教教會就是其中一個。
198.024	210.391	好,那我們看一下耶穌寫的信,那為阿門的,為這個誠信真實見證的, 阿門其實就是YES的意思。
210.391	286.514	所以就是說,實實在在的那一位,而且祂是實實在在的誠信,而且真實的為福音,為救恩,為上帝,為上帝對世界的國度的計畫做見證的那一位耶穌基督,寫信給你們,代表 我是這樣可是你們都不是這樣你們沒有好好做見證你們活得很不實在你們是一個非常虛假的教會然後呢在神創造萬物之上的元首要對你們說話我是一位神所創造萬物之上的那位做元首的 可是你們老底家教會都只顧念地上的事天上的事你都不顧念所以我這位在神所創造的萬有之上的那位做元首的 耶穌基督對你們這些只顧慮地上的事情的老人家教會說重話十五節我知道你的行為你也不冷也不熱我巴不得你或冷或熱你既然如溫水也不冷也不熱所以我必從我的口中要把你吐出去 我們剛談到老李家這個教會為什麼這麼的富有?
286.514	289.238	因為他在兩條商道的教會口。
289.238	290.539	但是他有一個致命傷。
290.539	292.382	他沒有水可以喝。
292.382	293.543	他本地沒有水源。
293.543	297.949	所以他需要從這個臨近的城市把水引進來。
298.490	300.152	它鄰近有兩個城市。
300.152	302.395	一個是叫做希拉波裡。
302.395	306.300	它的著名就是它是一個溫泉的城市。
306.300	308.183	另外一個是哥羅西。
308.183	313.329	就是哥羅西書的那一個哥羅西教會。
313.329	314.971	那哥羅西它是冷泉。
315.674	323.860	在古代他們都相信這個熱的溫泉跟真正冷的冷泉都有醫病的效果。
323.860	359.537	那這個勞里加這個城市他沒有水源所以他需要從希拉波裡這個地方引這個熱的溫泉水用這個他們的飲水道我們今天去參觀很多這個希臘羅馬時代的古蹟都會看見他們有那個飲水道把水運過來 他們就從這個希拉波裡那邊的這個熱的水引過來然後到這個老底家的時候溫度就已經下降變成溫的水那所以呢就是在諷刺他就是說 你要嘛就是熱一點。
359.537	361.139	像那個溫泉熱一點。
361.139	363.340	要嘛就很冷。
363.340	364.981	像那個冷泉冷一點。
364.981	368.023	這樣才真正有這個醫療的功效。
368.023	369.804	你不冷也不熱。
369.804	371.765	你不像另外兩個教會。
371.765	372.746	其實呢。
372.746	374.547	這個哥羅西教會啦。
374.547	375.868	希拉波裡教會啦。
375.868	377.469	還有道地家教會。
377.469	380.291	應該都是這個以巴佛。
380.291	382.212	這位傳道人他所建立的教會。
382.910	388.114	你不像那兩個教會一樣,就是這麼的長進。
388.114	391.196	你是完全沒有功用的一個教會。
391.196	396.340	不能當熱泉,也不能當冷泉,能夠醫治人心。
396.340	399.102	水到你那邊去,都是溫水。
399.102	408.229	第二個,你這邊溫水,你大廢周章蓋了這麼多的飲水道,水到你這裡來的時候,那水不能喝,因為它裡面有很多碳酸鈣。
408.609	411.252	所以那個水是苦的。
411.252	414.355	所以喝進去就很難喝。
414.355	415.896	讓人覺得很噁心。
415.896	417.498	喝了想把它吐出來。
417.498	419.940	這是這個城市的致命傷。
419.940	424.144	所以代表耶穌在責備勞力加教會。
424.144	427.707	你為什麼不能像你隔壁的兩個教會有功用呢?
428.268	465.048	你說﹐我是富足﹐已經發了財﹐一樣都不缺﹐ 卻不知道你是那困苦、可憐、貧窮、瞎眼、赤身的。
465.048	470.211	我勸你向我買火鍊的金子,叫你富足。
470.211	475.894	又買白衣穿上,叫你赤身的羞恥不露出來。
475.894	482.158	又買眼藥擦你的眼睛,使你能看見。
482.158	493.024	當我所疼愛的,我就責備管教他, 所以你要發熱心也要悔改。
493.024	504.677	17節你說老體家教會你說我是富足我已經發了財一樣都不缺 我們可以看見這個七個教會裡面,都有什麼自稱為。
504.677	508.080	那老底家教會就是他們自稱他們是附屬的。
508.080	515.626	我們可以來看一下,從第一個教會以弗所裡面,就那些自稱是使徒,但卻是假使徒的。
515.626	518.448	那被以弗所教會把它拆穿謊言。
518.848	564.099	第二個教會呢,是美拿教會裡面有自稱是猶太人的,要跟基督徒劃清界限,好讓那些基督徒不能享受羅馬政府給猶太教的一些特權,例如說不用參加神明慶典,甚至不用向帝王來膜拜,那既然基督徒跟我們猶太教不一樣,所以他們就去向政府告密,去取締基督徒,基督徒要受苦, 那第三個教會是別加摩教會,裡面有自稱為教師的,但是他卻在教導巴蘭這一種的一種與偶像行邪淫,向偶像妥協的一種這樣的教導。
564.099	570.762	第四個是推亞推拉教會,裡面有自稱是女先知的,但神卻說她是耶洗別。
571.459	573.680	他也是錯誤的教導。
573.680	574.820	第五個教會是撒底。
574.820	577.961	他這個自稱是活的。
577.961	580.282	但耶穌說其實你是死的。
580.282	581.523	你已經死了你還不知道。
581.523	583.484	你是一個死的教會。
583.484	586.145	那第六個菲拉鐵菲教會。
586.145	590.386	他是一樣面對自稱是猶太人的教會。
590.386	595.048	勾結羅馬政府來攻擊這個基督徒。
595.048	598.809	然後那第七個教會這邊談到就是勞底加。
598.809	600.050	他自稱是富足的。
600.828	603.069	但耶穌說,不是喔!
603.069	607.551	卻不知道你是那困苦的、可憐的、貧窮的。
607.551	611.072	你在我眼中,是窮光蛋。
611.072	617.255	你不像士美拿教會,物質上很缺乏,但屬靈裡面非常豐盛。
617.255	622.377	你是物質很豐盛,屬靈是繳靈分,繳白券。
622.377	626.039	然後呢,你是這個瞎眼的,諷刺他們。
627.466	656.945	因為這個在這個老底家這邊他們出產的很有名的因為他們這個地區啊什麼哥羅西拉、希拉波裡還有這個老底家他們這個區域叫做佛律家那在老底家呢他們醫藥非常發達他們生產一種叫佛律家的眼藥粉聽說非常有果效但耶穌說沒有啊其實你是瞎眼的屬靈瞎眼 你是赤身的。
656.945	657.986	沒有穿衣服的。
657.986	659.368	這也是諷刺。
659.368	660.809	老底家真的很有錢。
660.809	663.953	因為他們那邊也是紡織業很興盛。
663.953	669.139	他們盛產黑羊毛的紡織品。
669.139	673.164	18節說耶穌就勸老底家說。
673.164	675.167	你要向我來買。
675.725	677.127	火煉的金子。
677.127	678.950	你不是說你很富足嗎?
678.950	680.732	你如果真的想要富足。
680.732	684.798	你要向我來買火煉的金子。
684.798	686.721	因為這邊商業很繁盛。
686.721	688.584	所以銀行業很發達。
688.584	691.348	所以很多這個金子方面的交易。
691.869	697.973	你要跟我買真正的,被火煉過的金子,就是信心。
697.973	699.774	這才能夠叫你富足。
699.774	704.938	你呢,又要向我來買白色的衣服,白衣穿上。
704.938	720.028	我們之前談過,白衣基本上就是羅馬時代,當有那個將軍或是皇帝凱撒,得勝歸來的時候,這個市民就穿白衣,來迎接得勝的君王回來。
720.028	792.718	因為在耶穌基督身上就是, 得勝的基督徒他們會穿白衣歡迎等候耶穌基督第二次再來在全地掌權作王消滅罪死魔所以我勸你也要向我買白衣穿上因為你們這邊盛產的是黑羊毛的衣服 所以這樣可以叫你的赤身就是沒有穿衣服的羞恥不至於露出來可是你現在都不知道了你穿的是國王的新衣你自以為你自己穿得很好穿名牌在我眼中你是沒有穿衣服的你是不知羞恥的喔好然後呢你又要向我買這個眼藥來擦你的眼睛使你能夠心裡面屬於你的眼睛真的可以看見你是何等的可憐貧窮喔 耶穌就講這麼重的話耶穌在19節說凡我所疼愛的我就責備管教他所以耶穌說我不是說瞧不起你們討厭你們我是怎麼樣愛你們所以我對你們講這麼重的話在管教責備你們所以你們要發熱心也要悔改 不要不冷也不熱。
792.718	795.940	然後就是只貪圖地上的事。
795.940	797.201	對主都不熱心。
797.201	798.341	對福音不熱心。
798.341	800.463	對聖徒也不熱心。
800.463	801.944	所以你要發熱心。
801.944	802.984	要悔改。
802.984	805.205	你看這個七個教會裡面。
805.205	806.066	有五個教會。
806.066	807.367	神都說你要悔改。
807.367	808.787	你一定要悔改。
808.787	809.368	不悔改。
809.368	810.589	教會不會復興。
810.589	812.370	不悔改就不能成為。
812.370	815.591	能夠向耶穌基督交葬的教會。
815.591	815.872	好。
815.872	816.792	我們繼續來看第20節。
816.792	817.192	到第22節。
821.408	834.252	看啊﹐我站在門外叩門﹐若有聽見我聲音就開門的﹐我要進到他那裡去﹐我與他﹐他與我一同坐席。
834.252	846.696	得勝的﹐我要賜他在我寶座上與我同坐﹐就如我得了勝﹐在我附的寶座上與他同坐一般。
848.933	862.017	聖靈向眾教會所說的話,凡有耳的,就應當聽。
862.017	867.799	第二節看了我站在門外叩門,若有聽見我聲音的,就開門。
867.799	871.921	我要進到祂那裡去,我與祂,祂與我一同作息。
872.568	889.780	也就是說﹐耶穌很期待﹐在這個老底家教會裡面﹐至少耶穌在教會的門外﹐扣門的時候﹐至少還有一個﹐還清醒的基督徒﹐可以進來﹐開門﹐讓耶穌進來﹐跟你同作息。
889.780	902.488	這邊講的說真好﹐我與祂﹐祂與我﹐代表那種親密﹐一同作息﹐能夠真的見到﹐這個得勝者可以參與的﹐末日的﹐彌賽亞的﹐ 高揚的婚禮。
902.488	906.990	可是,這樣的人存不存在老人家教會呢?
906.990	908.790	這是令人擔憂的。
908.790	914.212	我們常常講說,耶穌站在門外扣門,是拿來傳福音說,耶穌在扣你心門。
914.212	918.073	其實祂原本的句子,是在對基督徒說的。
918.073	920.313	哇,讓我們聽了好難過。
920.313	927.955	原來在耶穌的這個標準裡面, 很多教會裡面是對耶穌關門的,不讓耶穌進來的。
927.955	933.539	他們對天上的事不火熱,他們是對地上的事情有興趣。
933.539	937.241	好,21節,得勝的,耶穌請免他們能夠成為得勝者。
937.241	942.185	得勝的,我要賜他在我的寶座上與我同坐。
942.585	966.603	剛剛講的是吃飯一同作息現在進一步講說得勝者不僅在地上跟我有親密的團契進一步的將來祂要與我同坐寶座寶座這個主題非常的棒第一章講到天父上帝的寶座 第二章提醒我們在貝加摩那邊為例。
966.603	969.905	撒旦也有祂的寶座設立在人間。
969.905	973.208	第三章又再次的鼓勵我們。
973.208	977.111	耶穌基督祂要與父神同坐寶座。
977.111	984.357	但更寶貴的是,耶穌基督要讓得勝者與祂一同同坐寶座。
984.357	988.480	治理耶穌基督在地上所建立的神的國度。
989.121	998.389	所以祂就說,得勝的,我要賜他在我的寶座上,與我同坐寶座。
998.389	1004.374	就如同我得了勝,在我負的寶座上,與我的負,他同坐一班。
1004.974	1010.998	所以聖靈向眾教會所說的話,凡有耳的,就應當聽。
1010.998	1020.625	這番話講在這個勞底加教會的耳中,甚至是亞西亞教會的耳中,大家一聽都知道有弦外之音。
1020.625	1024.708	勞底加這個地方真的是很有錢,有錢到一個地步。
1024.708	1029.632	我們之前講過,像什麼菲拉帖、菲拉薩迪,這一帶都是屬於地震帶。
1029.632	1032.935	我們經常看到土耳其有地震有沒有,真的那邊是地震帶。
1033.575	1058.363	老底嘉這個城市曾經在祖後60年的時候也就是約翰寫《啟示錄》之前大概30年左右也發生過一次很可怕的大地震這個城市幾乎全毀但是像其他的城市他重建他都需要向羅法要錢 老底家說:「不用,我根本不用皇帝的幫助,我也不用上帝的幫助,我很有錢。
1058.363	1068.071	」所以他們重建老底家城市,沒有跟羅馬政府要半毛錢,就把整個城市重建,而且蓋得比以前更好。
1068.071	1075.338	老底家人就相信,有錢什麼事都可以搞定,有錢連坐寶座當王都可以。
1076.101	1092.478	在這個勞底加這個城市裡面之前羅馬政府跟這個波斯人在打仗 波斯人他們就曾經入侵到土耳其這邊,要打到勞底家。
1092.478	1104.168	勞底家裡面就有一個有錢人的家族,非常有錢,所以有很多僱傭兵,就成功的幫助羅馬擊退了波斯人。
1104.168	1116.693	結果論功行善, 所以他的兒子,就當了土耳其最北邊那個地方叫本都那個地區的國王。
1116.693	1123.835	所以他的兒子,還有他的兒子跟兒子的兒子,都當了王。
1123.835	1130.356	所以對這個老齡家人來講,有錢什麼都可以,有錢也可以做寶座。
1130.356	1140.727	但耶穌就來提醒他們,你看你們在那個本都那邊當王的那個有錢的家族, 當了沒幾任就結束了。
1140.727	1143.349	本都就被這個羅馬政府收走了。
1143.349	1144.910	變成一個省。
1144.910	1146.651	寶座就沒有了。
1146.651	1155.976	但是唯有真正得勝的聖徒才會跟我耶穌基督一同在寶座上做王到永遠。
1155.976	1157.177	這個是錢買不到的。
1157.978	1162.400	所以他鼓勵老鄰家教會也要起來得勝。
1162.400	1164.660	我們已經看完七個教會。
1164.660	1173.804	這七個教會的這些﹐耶穌基督對他的勸勉﹐或是責備﹐或是鼓勵他們成為得勝者﹐也是所有的眾教會聽了。
1174.104	1179.531	那當然有關這七個教會的這些書型,有很多解釋。
1179.531	1187.861	那其中有種解釋就是說,這七個教會代表人類歷史上的教會的七個階段。
1187.861	1190.465	這是所謂的時代論,有七個時代。
1190.845	1225.690	教會有七個階段用這樣的劃分歷史現在比較少人這樣子來解釋這七個教會了那是比較以前的講法而且也比較站不住腳這是我個人看法你可以參考看看好,我們一起來禱告主我們真的是來到祢面前求祢憐憫我們開我們心裡面的眼睛主讓我們顧念天上的事 主讓我們看見我們若不跟隨祢,我們是何等的貧窮。
1225.690	1233.793	主讓我們看,好好來聆聽,祢是否也在我們的教會的門外,向我們教會叩門。
1233.793	1244.778	主啊,盼望我先來悔改,盼望我先來為耶穌開門,和叫耶穌與我一同作息,我們有親密的團契關係。
1244.778	1253.305	主啊,更可以因著我的復興,也讓我們的教會迎接耶穌, 帶來更大的復興。
1253.305	1259.235	好叫我們可以與祢﹐在寶座上﹐統作王﹐直到永永遠遠。
1259.235	1260.998	奉主耶穌的名禱告。
1260.998	1261.759	阿們。
1261.759	1263.242	願神﹐賜福大家。
1281.510	1282.353	繁體中文，
