start	end	text
3.933	5.655	弟兄姊妹平安，我們一起來思想。
5.655	57.126	民宿記第二十九章繼續來看上帝藉摩西吩咐第二代的以色列人進去得地為業之後千萬不要過河拆橋然後就跟神疏遠了而跟上一任土地的主人迦南人一樣 犯罪遠離神而誤會了神所賜的土地那神就會把他們趕出去如同之前藉由他們的手把加難人趕出去一樣因此透過不同的日期節期的獻祭提醒他們數算上帝救恩數算神的恩典也透過這樣來悔改透過這樣來感恩跟神建立一個 正確、健康的關係。
57.126	63.671	這樣就可以長長久久的享受神所賜給他們一切的祝福和土地。
63.671	67.154	29節,我們繼續來看吹角節。
67.154	68.355	29章,第一節。
68.355	79.023	7月初一日,你們當有聚會,什麼勞碌的工都不可做,是你們當所謂吹角的日子。
79.023	111.693	7月1號,以色列的農民曆, 换算成我们今天的阳历就是加两个半月左右所以7月1号是以色列人的新年大概是我们的这个阳历的九月中旬上下有时候可能是9月10号左右有些有时候可能9月15号左右那这个新年的时候呢他们就要吹角来庆贺新年的来到 在那時候,你們要獻祭。
111.693	113.374	新年要獻祭。
113.374	115.254	是新的一年的開始。
115.254	125.736	要獻公牛賭一枝,公綿羊一枝,沒有殘疾的公羊羔七枝,作為新香的繁祭,獻給耶和華。
125.736	128.076	第三節還要獻素祭。
128.076	130.897	然後呢,第五節還要獻贖罪祭。
130.897	138.378	然後第六節還要獻用這個葡萄所釀的美酒。
138.899	140.540	的這個奠祭。
140.540	141.822	獻給神。
141.822	144.644	因此呢每一年的七月一號。
144.644	145.825	過新年的時候。
145.825	146.846	最重要的。
146.846	148.868	就是數算神的恩典。
148.868	150.169	透過吹角。
150.169	151.370	提醒大家。
151.370	152.731	新的一年來到。
152.731	155.073	我們要向神獻上感恩。
155.073	156.314	在一年之初。
156.314	159.117	要與神建立一個健康正常的關係。
159.770	167.474	第七節,十天之後,就是七月初十日,大概就是楊麗的九月底左右。
167.474	173.937	你們當有聖會,要刻苦己心,什麼功都不可做。
173.937	174.617	為什麼呢?
174.617	186.763	因為七月十號是贖罪日,那一天每一個人都要在他自己的帳篷裡面,刻苦己心,好好的來在上帝面前認罪悔改。
187.483	218.321	弟兄姊妹，我們不要以為在旧約時代你可以隨隨便便去犯一個罪故意去犯罪事後才去獻贖罪祭然後上帝就赦免你不是的贖罪祭基本上是給你誤犯了律法你不是故意明目張膽神說不可以你卻故意就是一定要去犯這個不可以透過獻贖罪祭而罪得赦免 那怎麼辦呢?
218.321	305.027	這個只能在每一年的7月10號贖罪日那一天大祭司要進到至聖所或是進到會墓裡面神的寶座就是約櫃的前面去為百姓獻上這個戴罪羔羊的血來替所有願意刻苦己心 痛慨前非在神面前毀過的以色列人贖罪那如果你沒有把握到7月10號贖罪日這一天大祭司一年一次才可以進到會幕裡面去為你贖罪的話那你所犯的罪就是沒有得到赦免那上帝隨時都會審判你甚至把你擊殺 因此在贖罪日的時候他們就一樣要獻上繁祭、素祭、贖罪祭跟奠祭那一天也不要忘記每天早跟晚的繁祭也不能廢去不能漏掉再來12節以後是講7月15號開始要過以色列三大節旗裡面的第三個節旗叫做祝彭節 它也是三大節旗裡面最大的節旗,因為要慶祝秋收。
305.027	317.135	7月15號,大概是陽曆的十月初,你們當有盛會,什麼勞碌的工都不可做,要向耶和華守節七日。
317.135	363.279	第一天要將公牛賭十三隻,公綿羊兩隻,然後一歲的公羊羔十四隻, 都要沒有殘疾的用火獻給耶和華為新鄉的繁祭當然還要同時加上宿祭還有這個贖罪祭以及奠祭因此呢祝彭節總共是七加一等於八天我們大家就會看見先連續過七天然後還有一個第八天有嚴肅會然後每一天都要獻祭 十七節第二天的獻祭跟第一天的獻祭差不多,只差公牛賭從十三支變成十二支,少一支。
363.279	369.161	第二十節第三天公牛賭繼續再少一支,變成十一支。
369.161	375.703	以此類推,到第七日,三十二節的時候,公牛剩下七支。
377.892	388.099	三十五節,七加一,就是第八日,你們當有嚴肅會,什麼勞碌的工都不可做。
388.099	396.445	嚴肅會,這個中文其實跟這個翻譯,跟西部語言文,會讓人產生誤解。
396.445	403.911	嚴肅會,它的意思就是結束會,也就是七天結束之後再多一天。
403.911	506.756	那在這個舊約裡面呢, 大部分的這個嚴肅會呢就是這個節旗的最後一天通常都是非常歡樂的不要忘記祝彭節是歡樂慶祝秋收因此翻譯成嚴肅會會使人有一些誤導應該是叫節肅會就是七天的歡樂感覺還不夠還要再多一天最歡樂大大來向神獻上讚美跟感謝 嚴肅會這個字眼在舊約出現了十次除了約爾書之外都是講歡樂只有約爾書那邊講就是說你們應該在最歡樂的結束會反而要認罪悔改刻苦己心因為你們大大得罪神所以你們原本理當要歡喜快樂因為是七加一嘛就是最快樂的那一天可是你們 應該在那一篇要好好的悔改因為你們都快滅亡所以那是一個反諷因此嚴肅會在9月裡面最主要的意義還是歡樂而不是刻苦己心的悔改 然後我們看見這第八日祂這個獻祭的祭動物就減少了就是公牛一隻公羊一隻沒有殘疾一歲的公羊羔七隻當然還要加上宿祭殿祭跟贖罪祭三十九節這些祭要在你們的節期獻給耶和華都在所許的願並甘心所獻的以外 作為你們的繁祭、肅祭、殿祭和平安祭。
506.756	529.433	也就是說這個祝彭節所獻的這些祭不可以因為獻了這些那麼多的祭因為祝彭節獻的祭蠻多的就這個疏忽了平常 安息日該獻的祭,以及每天早晚要獻的早晚祭,都也不可以疏忽。
529.433	535.938	第40節,於是摩西照耶和華所吩咐他的一切話,告訴以色列人。
535.938	537.539	我們一起來禱告。
537.539	542.983	主啊,透過今天的經文,我們再次來思想,並且向祢感恩。
542.983	550.589	透過7月10號的贖罪日,提醒我們,我們不可以在神面前隨隨便便任意妄為的犯罪。
